advmod
dep
appos
nsubjpass
acl:relcl
compound:prt
conj
parataxis
amod
expl
auxpass
discourse
dobj
mwe
case
ROOT
csubj
det:predet
nmod:tmod
nummod
cc
cc:preconj
aux
iobj
compound
xcomp
nsubj
neg
mark
det
nmod
ccomp
punct
acl
advcl
csubjpass
nmod:npmod
root
nmod:poss
cop
